strain_collection_id,strain_id,plate,row,colum,plate_control,strain_collection_notes,excluded
mata-deletion2021-384,blank,1,2,2,TRUE,NA,FALSE
mata-deletion2021-384,rec338,1,2,4,TRUE,NA,FALSE
mata-deletion2021-384,rec339,1,2,6,TRUE,NA,FALSE
mata-deletion2021-384,rec340,1,2,8,TRUE,NA,FALSE
mata-deletion2021-384,rec341,1,2,10,TRUE,NA,FALSE
mata-deletion2021-384,rec345,1,2,12,TRUE,NA,FALSE
mata-deletion2021-384,rec346,1,2,14,TRUE,NA,FALSE
mata-deletion2021-384,rec347,1,2,16,TRUE,NA,FALSE
mata-deletion2021-384,rec348,1,2,18,TRUE,NA,FALSE
mata-deletion2021-384,rec349,1,2,20,TRUE,NA,FALSE
mata-deletion2021-384,rec351,1,2,22,TRUE,NA,FALSE
mata-deletion2021-384,rec352,1,2,24,TRUE,NA,FALSE
mata-deletion2021-384,rec354,1,4,2,TRUE,NA,FALSE
mata-deletion2021-384,rec355,1,4,4,TRUE,NA,FALSE
mata-deletion2021-384,rec356,1,4,6,TRUE,NA,FALSE
mata-deletion2021-384,rec357,1,4,8,TRUE,NA,FALSE
mata-deletion2021-384,rec359,1,4,10,TRUE,NA,FALSE
mata-deletion2021-384,rec360,1,4,12,TRUE,NA,FALSE
mata-deletion2021-384,rec361,1,4,14,TRUE,NA,FALSE
mata-deletion2021-384,rec363,1,4,16,TRUE,NA,FALSE
mata-deletion2021-384,rec364,1,4,18,TRUE,NA,FALSE
mata-deletion2021-384,rec366,1,4,20,TRUE,NA,FALSE
mata-deletion2021-384,rec367,1,4,22,TRUE,NA,FALSE
mata-deletion2021-384,rec369,1,4,24,TRUE,NA,FALSE
mata-deletion2021-384,rec370,1,6,2,TRUE,NA,FALSE
mata-deletion2021-384,rec371,1,6,4,TRUE,NA,FALSE
mata-deletion2021-384,rec374,1,6,6,TRUE,NA,FALSE
mata-deletion2021-384,rec377,1,6,8,TRUE,NA,FALSE
mata-deletion2021-384,rec378,1,6,10,TRUE,NA,FALSE
mata-deletion2021-384,rec379,1,6,12,TRUE,NA,FALSE
mata-deletion2021-384,rec380,1,6,14,TRUE,NA,FALSE
mata-deletion2021-384,rec381,1,6,16,TRUE,NA,FALSE
mata-deletion2021-384,rec382,1,6,18,TRUE,NA,FALSE
mata-deletion2021-384,rec385,1,6,20,TRUE,NA,FALSE
mata-deletion2021-384,rec386,1,6,22,TRUE,NA,FALSE
mata-deletion2021-384,rec387,1,6,24,TRUE,NA,FALSE
mata-deletion2021-384,rec388,1,8,2,TRUE,NA,FALSE
mata-deletion2021-384,rec389,1,8,4,TRUE,NA,FALSE
mata-deletion2021-384,rec390,1,8,6,TRUE,NA,FALSE
mata-deletion2021-384,rec391,1,8,8,TRUE,NA,FALSE
mata-deletion2021-384,rec393,1,8,10,TRUE,NA,FALSE
mata-deletion2021-384,rec394,1,8,12,TRUE,NA,FALSE
mata-deletion2021-384,rec395,1,8,14,TRUE,NA,FALSE
mata-deletion2021-384,rec397,1,8,16,TRUE,NA,FALSE
mata-deletion2021-384,rec398,1,8,18,TRUE,NA,FALSE
mata-deletion2021-384,rec399,1,8,20,TRUE,NA,FALSE
mata-deletion2021-384,rec400,1,8,22,TRUE,NA,FALSE
mata-deletion2021-384,rec401,1,8,24,TRUE,NA,FALSE
mata-deletion2021-384,rec402,1,10,2,TRUE,NA,FALSE
mata-deletion2021-384,rec403,1,10,4,TRUE,NA,FALSE
mata-deletion2021-384,rec405,1,10,6,TRUE,NA,FALSE
mata-deletion2021-384,rec407,1,10,8,TRUE,NA,FALSE
mata-deletion2021-384,rec408,1,10,10,TRUE,NA,FALSE
mata-deletion2021-384,rec413,1,10,12,TRUE,NA,FALSE
mata-deletion2021-384,rec414,1,10,14,TRUE,NA,FALSE
mata-deletion2021-384,rec415,1,10,16,TRUE,NA,FALSE
mata-deletion2021-384,rec417,1,10,18,TRUE,NA,FALSE
mata-deletion2021-384,rec418,1,10,20,TRUE,NA,FALSE
mata-deletion2021-384,rec419,1,10,22,TRUE,NA,FALSE
mata-deletion2021-384,rec420,1,10,24,TRUE,NA,FALSE
mata-deletion2021-384,rec421,1,12,2,TRUE,NA,FALSE
mata-deletion2021-384,rec422,1,12,4,TRUE,NA,FALSE
mata-deletion2021-384,rec423,1,12,6,TRUE,NA,FALSE
mata-deletion2021-384,rec425,1,12,8,TRUE,NA,FALSE
mata-deletion2021-384,rec426,1,12,10,TRUE,NA,FALSE
mata-deletion2021-384,rec427,1,12,12,TRUE,NA,FALSE
mata-deletion2021-384,rec428,1,12,14,TRUE,NA,FALSE
mata-deletion2021-384,rec429,1,12,16,TRUE,NA,FALSE
mata-deletion2021-384,rec430,1,12,18,TRUE,NA,FALSE
mata-deletion2021-384,rec431,1,12,20,TRUE,NA,FALSE
mata-deletion2021-384,rec1489,1,12,22,TRUE,NA,FALSE
mata-deletion2021-384,rec1490,1,12,24,TRUE,NA,FALSE
mata-deletion2021-384,rec1493,1,14,2,TRUE,NA,FALSE
mata-deletion2021-384,rec1494,1,14,4,TRUE,NA,FALSE
mata-deletion2021-384,rec1497,1,14,6,TRUE,NA,FALSE
mata-deletion2021-384,rec1498,1,14,8,TRUE,NA,FALSE
mata-deletion2021-384,rec1500,1,14,10,TRUE,NA,FALSE
mata-deletion2021-384,rec1501,1,14,12,TRUE,NA,FALSE
